wid,year,k,alpha,psi,spell,freq,fid,move,comp
0,1,6,0.967421566101701,0.3487556955170447,1,2,105,False,1.4132738802613267
0,2,6,0.967421566101701,0.3487556955170447,1,2,105,False,1.6073995315632585
0,3,9,0.967421566101701,1.3351777361189363,2,1,179,True,3.33158217830627
0,4,9,0.967421566101701,1.3351777361189363,3,2,179,False,1.973015395059571
0,5,9,0.967421566101701,1.3351777361189363,3,2,179,False,3.188045158536431
1,1,4,0.43072729929545744,-0.11418529432142838,1,2,74,False,-0.38484175818049016
1,2,4,0.43072729929545744,-0.11418529432142838,1,2,74,False,1.7252424592565396
1,3,1,0.43072729929545744,-0.9084578685373851,2,1,20,True,0.44249579368664266
1,4,1,0.43072729929545744,-0.9084578685373851,3,1,21,True,-0.3843046176822366
1,5,1,0.43072729929545744,-0.9084578685373851,4,1,21,False,-1.301063145133351
2,1,7,0.0,0.6045853465832371,1,2,127,False,-0.33184737254758456
2,2,7,0.0,0.6045853465832371,1,2,127,False,0.7454334124130776
2,3,7,0.0,0.6045853465832371,2,3,131,True,0.9623439775733003
2,4,7,0.0,0.6045853465832371,2,3,131,False,-0.16702807783113527
2,5,7,0.0,0.6045853465832371,2,3,131,False,-0.5659279368802814
3,1,9,0.967421566101701,1.3351777361189363,1,2,193,False,1.8911751563980947
3,2,9,0.967421566101701,1.3351777361189363,1,2,193,False,1.5440095019380808
3,3,5,0.967421566101701,0.11418529432142824,2,1,82,True,2.336658257258713
3,4,3,0.967421566101701,-0.3487556955170447,3,1,53,True,0.7315271932979259
3,5,2,0.967421566101701,-0.6045853465832371,4,1,37,True,0.5354746479281404
4,1,8,0.967421566101701,0.9084578685373853,1,1,151,False,2.235861002532203
4,2,6,0.967421566101701,0.3487556955170447,2,1,115,True,2.6843052626353643
4,3,8,0.967421566101701,0.9084578685373853,3,1,156,True,2.4879625072622114
4,4,7,0.967421566101701,0.6045853465832371,4,2,129,True,2.310850896188338
4,5,7,0.967421566101701,0.6045853465832371,4,2,129,False,1.3030316139295772
5,1,7,0.43072729929545744,0.6045853465832371,1,3,135,False,2.4530388775954455
5,2,7,0.43072729929545744,0.6045853465832371,1,3,135,False,1.5895170539997627
5,3,7,0.43072729929545744,0.6045853465832371,1,3,135,False,2.7778475386395156
5,4,1,0.43072729929545744,-0.9084578685373851,2,1,24,True,-0.8266368398089605
5,5,2,0.43072729929545744,-0.6045853465832371,3,1,40,True,-1.0628554018559315
6,1,1,-0.43072729929545756,-0.9084578685373851,1,1,14,False,0.10678626019043036
6,2,1,-0.43072729929545756,-0.9084578685373851,2,2,26,True,-1.1447112760408837
6,3,1,-0.43072729929545756,-0.9084578685373851,2,2,26,False,-2.0064409072694724
6,4,6,-0.43072729929545756,0.3487556955170447,3,1,108,True,1.7316800656339382
6,5,2,-0.43072729929545756,-0.6045853465832371,4,1,28,True,-1.3084707790540426
7,1,5,-0.43072729929545756,0.11418529432142824,1,1,98,False,0.33260471107030654
7,2,6,-0.43072729929545756,0.3487556955170447,2,1,107,True,-0.5690715145236351
7,3,9,-0.43072729929545756,1.3351777361189363,3,1,192,True,0.7107049070486461
7,4,7,-0.43072729929545756,0.6045853465832371,4,1,133,True,0.618554926863972
7,5,5,-0.43072729929545756,0.11418529432142824,5,1,91,True,-0.731696745918877
8,1,2,-0.43072729929545756,-0.6045853465832371,1,3,38,False,-1.3517703139371573
8,2,2,-0.43072729929545756,-0.6045853465832371,1,3,38,False,0.6801401002681722
8,3,2,-0.43072729929545756,-0.6045853465832371,1,3,38,False,-2.222444304510379
8,4,2,-0.43072729929545756,-0.6045853465832371,2,2,41,True,-2.2118571366021067
8,5,2,-0.43072729929545756,-0.6045853465832371,2,2,41,False,-0.18085312759510774
9,1,7,0.43072729929545744,0.6045853465832371,1,2,130,False,2.4587521042283296
9,2,7,0.43072729929545744,0.6045853465832371,1,2,130,False,1.0745093847913179
9,3,8,0.43072729929545744,0.9084578685373853,2,1,168,True,3.4597793300204183
9,4,5,0.43072729929545744,0.11418529432142824,3,2,84,True,-0.2732368632581821
9,5,5,0.43072729929545744,0.11418529432142824,3,2,84,False,0.7400631761783083
10,1,1,0.0,-0.9084578685373851,1,4,21,False,-0.422989539103236
10,2,1,0.0,-0.9084578685373851,1,4,21,False,0.58907319368344
10,3,1,0.0,-0.9084578685373851,1,4,21,False,0.4978067259647049
10,4,1,0.0,-0.9084578685373851,1,4,21,False,-1.1298219920327925
10,5,2,0.0,-0.6045853465832371,2,1,37,True,-0.6272349757246971
11,1,3,-0.43072729929545756,-0.3487556955170447,1,1,53,False,-1.9607977643689827
11,2,3,-0.43072729929545756,-0.3487556955170447,2,1,45,True,-1.1690968833960615
11,3,2,-0.43072729929545756,-0.6045853465832371,3,1,36,True,-0.379748648339138
11,4,5,-0.43072729929545756,0.11418529432142824,4,2,97,True,-1.8031626143934993
11,5,5,-0.43072729929545756,0.11418529432142824,4,2,97,False,0.3957234168395726
12,1,4,0.967421566101701,-0.11418529432142838,1,1,76,False,-0.27749855615069574
12,2,9,0.967421566101701,1.3351777361189363,2,1,184,True,0.42387166720949
12,3,9,0.967421566101701,1.3351777361189363,3,1,177,True,1.301277707284389
12,4,6,0.967421566101701,0.3487556955170447,4,2,109,True,0.7606024866817793
12,5,6,0.967421566101701,0.3487556955170447,4,2,109,False,0.46978326214828314
13,1,2,0.0,-0.6045853465832371,1,1,31,False,-2.120282613150135
13,2,2,0.0,-0.6045853465832371,2,4,42,True,-1.619044761929051
13,3,2,0.0,-0.6045853465832371,2,4,42,False,-1.5682431857243553
13,4,2,0.0,-0.6045853465832371,2,4,42,False,-0.29823644484678874
13,5,2,0.0,-0.6045853465832371,2,4,42,False,-0.9536787524648813
14,1,7,0.43072729929545744,0.6045853465832371,1,2,130,False,1.3132028652452756
14,2,7,0.43072729929545744,0.6045853465832371,1,2,130,False,-0.4723089987985838
14,3,2,0.43072729929545744,-0.6045853465832371,2,3,34,True,1.658200527703639
14,4,2,0.43072729929545744,-0.6045853465832371,2,3,34,False,-1.0602316397429308
14,5,2,0.43072729929545744,-0.6045853465832371,2,3,34,False,-0.5092962414445759
15,1,4,0.0,-0.11418529432142838,1,1,73,False,0.18386562755409663
15,2,3,0.0,-0.3487556955170447,2,1,48,True,0.09516639374018271
15,3,7,0.0,0.6045853465832371,3,2,134,True,1.2634241924148704
