i,j,y,t,l,k,alpha,psi
0,122,-0.5882727931723144,0,2,6,0.0,0.3487556955170447
0,122,-1.3688805285958663,1,2,6,0.0,0.3487556955170447
0,107,-1.9159746494477996,2,2,5,0.0,0.11418529432142824
0,107,0.5871436430816068,3,2,5,0.0,0.11418529432142824
0,107,-0.39840286443058703,4,2,5,0.0,0.11418529432142824
1,132,0.16453897359653968,0,0,6,-0.967421566101701,0.3487556955170447
1,132,0.0721919872596608,1,0,6,-0.967421566101701,0.3487556955170447
1,132,0.58973291121315,2,0,6,-0.967421566101701,0.3487556955170447
1,28,-2.535895505081849,3,0,1,-0.967421566101701,-0.9084578685373851
1,28,-0.23235252843057963,4,0,1,-0.967421566101701,-0.9084578685373851
2,174,-0.004053278930493676,0,3,8,0.43072729929545744,0.9084578685373853
2,182,1.3720014973973143,1,3,9,0.43072729929545744,1.3351777361189363
2,182,1.9276756534548989,2,3,9,0.43072729929545744,1.3351777361189363
2,192,3.2143552110274767,3,3,9,0.43072729929545744,1.3351777361189363
2,192,0.9762581053863523,4,3,9,0.43072729929545744,1.3351777361189363
3,79,-0.9224909418125814,0,1,4,-0.43072729929545756,-0.11418529432142838
3,46,-0.43775008717241015,1,1,2,-0.43072729929545756,-0.6045853465832371
3,24,-0.4507625720282057,2,1,1,-0.43072729929545756,-0.9084578685373851
3,44,-4.10108390638139,3,1,2,-0.43072729929545756,-0.6045853465832371
3,44,-0.07681598455390926,4,1,2,-0.43072729929545756,-0.6045853465832371
4,108,0.34862742500710986,0,3,5,0.43072729929545744,0.11418529432142824
4,187,1.8462963950547497,1,3,9,0.43072729929545744,1.3351777361189363
4,187,1.5349602512876972,2,3,9,0.43072729929545744,1.3351777361189363
4,166,1.5049371855945837,3,3,8,0.43072729929545744,0.9084578685373853
4,83,0.048456233972759166,4,3,4,0.43072729929545744,-0.11418529432142838
5,102,0.6192784934346695,0,2,5,0.0,0.11418529432142824
5,102,1.8323300468858847,1,2,5,0.0,0.11418529432142824
5,77,1.5439183686389695,2,2,3,0.0,-0.3487556955170447
5,77,-0.5400107450075025,3,2,3,0.0,-0.3487556955170447
5,94,1.4087486850248214,4,2,4,0.0,-0.11418529432142838
6,194,2.5449295972966297,0,2,9,0.0,1.3351777361189363
6,165,3.1579746810755034,1,2,8,0.0,0.9084578685373853
6,44,-0.39793553297427,2,2,2,0.0,-0.6045853465832371
6,44,-1.4325419917803153,3,2,2,0.0,-0.6045853465832371
6,9,-2.4967661292324066,4,2,0,0.0,-1.335177736118937
7,96,0.20207458736855402,0,3,4,0.43072729929545744,-0.11418529432142838
7,184,2.1966903181952735,1,3,9,0.43072729929545744,1.3351777361189363
7,141,1.526795251753306,2,3,7,0.43072729929545744,0.6045853465832371
7,101,0.06291286205299002,3,3,5,0.43072729929545744,0.11418529432142824
7,101,2.3010297952371417,4,3,5,0.43072729929545744,0.11418529432142824
8,44,0.9148613009849496,0,2,2,0.0,-0.6045853465832371
8,44,-1.109108122519596,1,2,2,0.0,-0.6045853465832371
8,44,-1.2674323845220403,2,2,2,0.0,-0.6045853465832371
8,12,-0.0741084845755684,3,2,0,0.0,-1.335177736118937
8,12,-1.9266576093288954,4,2,0,0.0,-1.335177736118937
